TICKER;PRECO;SETOR;MÁXIMA;MÍNIMA;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SLED3;7,14;Consumo Cíclico;13,00;6,59;;0,65;-0,19;0,7;45,54;210,83;124,35;0,38;0,45;0,37;;0,8;-0,51;-0,93;0,15;-29,31;108,25;-61,12;-3,69;4,69;0,87;-45,03;;17.636,89;-37,75;11,06;0,01;13.775.740,78
SLED4;1;Consumo Cíclico;5,19;0,93;;0,09;-0,03;0,1;45,54;210,83;124,35;0,05;0,45;0,37;;0,11;-0,07;-0,13;0,15;-29,31;108,25;-61,12;-3,69;4,69;0,87;-45,03;;50.617,97;-37,75;11,06;0;13.775.740,78
SMFT3;18,3;Consumo Cíclico;18,43;9,97;;128,28;2,47;0,86;31,76;14,5;5,81;51,45;54,2;3,03;0,15;7,46;8,03;-1,19;1,64;1,93;0,67;2,45;0,35;0,65;0,12;7,71;;46.895.922,45;7,41;0,14;-1,12;10.687.196.928,47
SMLS3;22,4;Consumo Cíclico;-;-;;10,78;4,09;1,02;85,18;41,42;39,07;10,17;9,93;-0,24;-0,1;4,21;18,78;-2,54;1,1;37,96;9,43;24,47;0,25;0,75;0,24;;;;5,47;2,08;-0,33;2.781.160.547,20
SMTO3;35,71;Consumo não Cíclico;50,57;21,86;3,17;11,61;2,19;0,67;34,59;35,22;17,3;5,7;8,88;3,17;1,22;2,01;3,76;-1,02;2,11;18,82;5,78;12,87;0,31;0,69;0,33;16,99;30,86;73.775.059,37;16,35;3,08;-0,45;12.655.905.011,75
SNSY3;4,49;Materiais Básicos;8,49;3,68;;-0,11;-0,02;0,07;20,75;1,49;-37,13;2,71;16,15;9,95;;0,04;-2,1;-0,17;0,94;-17,3;-66,64;-0,72;-3,85;4,89;1,79;16,67;;1.892,77;-238,8;-41,3;0;79.337.020,00
SNSY5;2,47;Materiais Básicos;4,48;2,42;;-0,06;-0,01;0,04;20,75;1,49;-37,13;1,49;16,15;9,95;;0,02;-1,15;-0,1;0,94;-17,3;-66,64;-0,72;-3,85;4,89;1,79;16,67;;7.372,42;-238,8;-41,3;0;79.337.020,00
SNSY6;13,33;Materiais Básicos;-;-;;-0,32;-0,06;0,22;20,75;1,49;-37,13;8,04;16,15;9,95;;0,12;-6,23;-0,51;0,94;-17,3;-66,64;-0,72;-3,85;4,89;1,79;16,67;;;-238,8;-41,3;0;79.337.020,00
SOJA3;11,33;Consumo não Cíclico;13,60;9,47;0,73;8,44;1,65;0,8;12,05;9,24;8,67;7,91;8,18;0,29;0,06;0,73;2,17;-2,34;2,28;19,58;9,49;11,89;0,48;0,41;1,09;53,23;;2.839.887,42;6,85;1,34;0,31;1.321.342.877,28
SOMA3;10,18;Consumo Cíclico;14,83;7,42;1;23,34;1,07;0,74;57,08;9,39;6,76;16,8;19,13;2,07;0,13;1,58;4,48;-1,08;2,08;4,57;3,17;4,73;0,69;0,31;0,47;36,69;33,75;108.768.799,37;9,51;0,44;5,43;8.098.592.889,36
SOND3;46,01;Bens Industriais;-;-;12,04;6,74;1,7;1,12;41,93;16,06;11,02;4,63;1,93;-1,4;-0,51;0,74;2,88;-2,89;2,72;25,15;16,58;18,03;0,66;0,34;1,5;23,5;39,24;;27,14;6,82;0,36;81.434.435,00
SOND5;40;Bens Industriais;40,00;26,93;15,24;5,86;1,47;0,97;41,93;16,06;11,02;4,02;1,93;-1,4;-0,51;0,65;2,51;-2,51;2,72;25,15;16,58;18,03;0,66;0,34;1,5;23,5;39,24;6.368,75;27,14;6,82;0,31;81.434.435,00
SOND6;26,25;Bens Industriais;28,56;25,97;23,22;3,85;0,97;0,64;41,93;16,06;11,02;2,64;1,93;-1,4;-0,51;0,42;1,64;-1,65;2,72;25,15;16,58;18,03;0,66;0,34;1,5;23,5;39,24;19.410,00;27,14;6,82;0,2;81.434.435,00
SPRT3B;76,4;Financeiro e Outros;-;-;;-78.669,16;-1.731.456,77;33.255,41;;;;2.744,62;2.744,54;-0,08;;;-1.731.456,77;;0,98;-2.200,93;-42,27;-63.085,51;-0,02;1,02;0;;;;0;0;788,93;370.531.748,80
SQIA3;20,35;Tecnologia da Informação;21,34;13,71;0,27;301,25;2,78;1,2;42,37;9,07;0,92;30,69;33,71;3,21;0,29;2,78;-22,3;-1,36;0,68;0,92;0,4;4,71;0,43;0,55;0,43;35,51;-4,5;14.110.646,58;7,3;0,07;-3,94;1.774.668.994,96
STBP3;10,14;Bens Industriais;10,10;5,58;6,67;22,79;4,06;2,01;44,07;29,66;19,86;15,26;14,86;-0,44;-0,12;4,53;37,24;-2,46;1,41;17,8;8,81;18,13;0,49;0,51;0,44;18,58;;47.986.132,92;2,48;0,44;1,51;8.702.195.615,83
STKF3;0;Consumo Cíclico;-;-;;0;0;0;47,48;40,02;38,3;0;2,13;2,13;0,23;0;0;0;2,79;10,25;6,66;5,87;0,65;0,35;0,17;22,63;110,22;;7,41;0,76;0;0
STTR3;0;Bens Industriais;-;-;;0;0;0;31,37;17,25;14,11;0;-0,22;-0,22;-0,09;0;0;0;2,46;32,1;17,86;25,38;0,56;0,44;1,27;22,02;;;2,91;0,94;0;0
SULA11;22,25;Financeiro e Outros;28,48;18,12;0,27;52,23;1,13;0,31;4,25;-3,34;0,83;-12,92;6,54;19,47;-1,71;0,43;0,85;-0,91;2,29;2,17;0,6;-8,72;0,28;0,72;0,73;4,58;-23,56;98.011.165,19;19,64;0,43;-0,94;9.475.042.424,17
SULA3;7,43;Financeiro e Outros;9,49;6,06;0,27;52,32;1,13;0,31;4,25;-3,34;0,83;-12,95;6,54;19,47;-1,71;0,43;0,85;-0,91;2,29;2,17;0,6;-8,72;0,28;0,72;0,73;4,58;-23,56;43.292,81;6,55;0,14;-0,95;9.475.042.424,17
SULA4;7,63;Financeiro e Outros;9,36;6,13;0,26;53,73;1,17;0,32;4,25;-3,34;0,83;-13,3;6,54;19,47;-1,71;0,44;0,88;-0,93;2,29;2,17;0,6;-8,72;0,28;0,72;0,73;4,58;-23,56;90.108,19;6,55;0,14;-0,97;9.475.042.424,17
SUZB3;45,71;Materiais Básicos;56,65;38,00;3,93;3,31;1,59;0,45;50,63;45,05;35,66;2,62;5,01;2,41;1,46;1,18;2,68;-0,62;2,47;47,95;13,53;20,16;0,28;0,72;0,38;36,49;58,91;320.740.509,50;28,84;13,83;-0,21;60.353.280.891,70
SYNE3;3,78;Financeiro e Outros;5,55;2,74;;-9,44;0,38;0,14;48,49;31,47;-14,5;4,35;9,46;5,13;0,45;1,37;1,53;-0,16;5,32;-4,03;-1,5;2,9;0,37;0,37;0,1;1,23;;1.289.044,58;9,9;-0,4;0,09;573.943.113,20
TAEE11;37,88;Utilidade Pública;39,60;31,61;10,43;8,62;2,01;0,71;78,71;90,53;60,12;5,72;9,36;3,65;1,28;5,18;6,31;-0,85;2,82;23,28;8,2;13,05;0,35;0,65;0,14;19,43;18,45;99.813.254,71;18,84;4,39;-0,27;12.994.498.772,04
TAEE3;12,59;Utilidade Pública;13,25;10,43;10,45;8,6;2;0,71;78,71;90,53;60,12;5,71;9,36;3,65;1,28;5,17;6,3;-0,85;2,82;23,28;8,2;13,05;0,35;0,65;0,14;19,43;18,45;1.678.548,71;6,28;1,46;-0,27;12.994.498.772,04
TAEE4;12,59;Utilidade Pública;13,26;10,65;10,42;8,62;2,01;0,71;78,71;90,53;60,12;5,73;9,36;3,65;1,28;5,18;6,31;-0,86;2,82;23,28;8,2;13,05;0,35;0,65;0,14;19,43;18,45;3.523.189,76;6,28;1,46;-0,27;12.994.498.772,04
TASA3;15,2;Bens Industriais;19,17;10,90;8,57;5,31;1,83;0,86;43,26;25,18;15,56;3,28;3,45;0,16;0,09;0,83;4,4;-2,31;1,45;34,4;16,14;27,88;0,47;0,53;1,04;29,58;;494.989,50;8,27;2,85;-0,1;1.919.269.959,12
TASA4;15,32;Bens Industriais;19,26;11,16;8,47;5,38;1,85;0,87;43,26;25,18;15,56;3,32;3,45;0,16;0,09;0,84;4,45;-2,34;1,45;34,4;16,14;27,88;0,47;0,53;1,04;29,58;;11.783.474,68;8,27;2,85;-0,1;1.919.269.959,12
TCNO3;1,2;Bens Industriais;1,66;1,20;;-7,52;-8,4;0,03;;;;-6,81;-34,51;-28,98;;;-0,08;-0,04;0,28;-111,63;-0,45;-3,55;0;1;0;;;4.272,71;-0,14;-0,16;-0,28;6.451.072,50
TCNO4;0,85;Bens Industriais;1,26;0,85;;-5,33;-5,95;0,02;;;;-4,82;-34,51;-28,98;;;-0,06;-0,03;0,28;-111,63;-0,45;-3,55;0;1;0;;;12.175,76;-0,14;-0,16;-0,2;6.451.072,50
TCSA3;3,1;Consumo Cíclico;4,21;1,79;;18,64;0,38;0,15;15,62;8,99;3,71;7,7;23,44;15,82;0,79;0,69;0,35;-0,34;3,75;2,06;0,78;1,6;0,38;0,6;0,21;-5,08;;291.704,47;8,07;0,17;-0,17;226.011.036,10
